artist_code,name
ART001,Carolina Durante
ART002,Biznaga
ART003,VVV
ART004,Chill Mafia Records
ART005,Estopa
ART006,Camellos
ART007,Ben Yart
ART008,Shego
ART009,La Élite
ART010,Alcalá Norte
ART011,Dua Lipa
ART012,Los Planetas
ART013,Ultralágrima
ART014,Los Rodríguez
ART015,María Escarmiento
ART016,C. Tangana
ART017,Oasis
ART018,Arctic Monkeys
ART019,Bon Iver
ART020,Joe Crepúsculo
ART021,Natos y Waor
ART022,Bad Bunny
ART023,Bad Gyal
ART024,Bizarrap
ART025,Margarita Quebrada
ART026,Extremoduro
ART027,Rigoberta Bandini
ART028,Los Punsetes
ART029,Casatriste
ART030,Miley Cyrus
ART031,Rage Against the Machine
ART032,Yung Beef
ART033,Cupido
ART034,Xenia
ART035,Luna Ki
ART036,Perra Inmunda
ART037,The Stone Roses
ART038,Arde Bogotá
ART039,Cecilio G.
ART040,FrioLento
ART041,La Plazuela
ART042,The Strokes
ART043,Califato ¾
ART044,Hinds
ART045,ROSALÍA
ART046,AC/DC
ART047,Metallica
ART048,Novedades Carminha
ART049,Reincidentes
ART050,Junio
ART051,Duki
ART052,Elvis Presley
ART053,Lil Peep
ART054,Lola Índigo
ART055,Bob Marley y The Wailers
ART056,Rodrigo Cuevas
ART057,El Jardinero
ART058,Amaia
ART059,El Coleta
ART060,Ladilla Rusa
ART061,Joachim Witt
ART062,LA TXAMA
ART063,Nirvana
ART064,Eminem
ART065,Gordo
ART066,Creed
ART067,Post Malone
ART068,Soto Asa
ART069,Marilyn Manson
ART070,Cala Vento
ART071,Monteperdido
ART072,Porretas
ART073,VAN17INO6
ART074,Gabry Ponte
ART075,Mujeres
ART076,Kings of Leon
ART077,Zahara
ART078,Vetusta Morla
ART079,Calle 13
ART080,Cascada
ART081,El Columpio Asesino
ART082,Pet Shop Boys
ART083,Barry B
ART084,La Plata
ART085,Manel
ART086,Sen Senra
ART087,Fito y Fitipaldis
ART088,The Prodigy
ART089,La Casa Azul
ART090,Daft Punk
ART091,Rihanna
ART092,El Gavira
ART093,Kanye West
ART094,Los Ganglios
ART095,El Chico del Té
ART096,Ed Sheeran
ART097,Ilegales
ART098,Blur
ART099,Dub Fx
ART100,The Killers
